编号,倒焊日期,芯片号,压连情况（-1，0，1，2）,电路端铟柱高度（μm）,芯片端铟柱高度（μm）,倒焊压力（kg）,倒焊机状态是否变更,铟柱上底（CD）,铟柱下底（CD）,调平方式,电路激光数据1,电路激光数据2,电路激光数据3,电路激光数据4,芯片激光数据1,芯片激光数据2,芯片激光数据3,芯片激光数据4,电路铟柱高度1,电路铟柱高度2,电路铟柱高度3,电路铟柱高度4,电路铟柱高度5,芯片铟柱高度1,芯片铟柱高度2,芯片铟柱高度3,芯片铟柱高度4,芯片铟柱高度5,设备开关机状态,设备报警代码,设备温度
259,2025.12.11,B250609-1-7 左,0,5.77,6.09,19,,,,激光,149.34,149.03,147.61,148.22,169.79,169.81,172.13,171.92,5.895 ,5.863 ,5.775 ,5.745 ,5.576 ,6.060 ,6.027 ,6.076 ,6.141 ,6.123 ,,,真空度：-854 T:20.3℃
260,2025.12.11,B251107-2-4 右,0,5.77,6.09,19,,,,激光,149.17,148.87,147.34,148.32,169.24,170.25,171.42,170.1,5.895 ,5.863 ,5.775 ,5.745 ,5.576 ,6.251 ,6.212 ,6.118 ,6.172 ,6.253 ,,,真空度：-854 T:20.3℃
261,2025.12.11,B250723-2-3 左,0,5.77,6.09,19,,,,十字,,,,,,,,,5.895 ,5.863 ,5.775 ,5.745 ,5.576 ,6.230 ,6.181 ,6.265 ,6.234 ,6.233 ,,,真空度：-854 T:20.3℃
262,2025.12.12,B251107-2-4 左,0,5.77,6.2,19,,,,激光,148.69,148.66,147.52,148.13,171.22,172.78,172.61,171.1,5.895 ,5.863 ,5.775 ,5.745 ,5.576 ,6.251 ,6.212 ,6.118 ,6.172 ,6.253 ,,,真空度：-857 T:20.2℃
263,2025.12.12,B250821-1-4 右,0,5.77,6.14,19,,,,激光,148.75,148.03,147.64,147.1,173.94,175.77,175.67,175.09,5.895 ,5.863 ,5.775 ,5.745 ,5.576 ,6.045 ,6.151 ,6.126 ,6.238 ,6.144 ,,,真空度：-858 T:20.3℃
264,2025.12.12,B251108-1-6 M1,0,5.77,6.37,19,,6.05,10.05,激光,148.07,148.04,147.36,147.48,173.65,174.52,174.81,174.56,5.895 ,5.863 ,5.775 ,5.745 ,5.576 ,6.402 ,6.321 ,6.402 ,6.352 ,6.370 ,,,真空度：-858 T:20.2℃
265,2025.12.12,B251108-1-7 M2,0,5.77,6.34,19,,,,激光,150.83,150.15,149.56,150.24,170.7,170.49,171.62,171.5,5.895 ,5.863 ,5.775 ,5.745 ,5.576 ,6.369 ,6.265 ,6.474 ,6.269 ,6.304 ,,,真空度：-856 T:20.3℃
266,2025.12.16,B251108-1-1 M5,0,5.77,6.36,19,,6.2,10.72,激光,150.8,150.01,149.76,150.16,171.76,172.98,172.1,171.89,5.895 ,5.863 ,5.775 ,5.745 ,5.576 ,6.376 ,6.394 ,6.343 ,6.384 ,6.389 ,,,真空度：-852 T:20.3℃
267,2025.12.16,B251108-1-1 M6,0,5.77,6.36,19,,6.2,10.72,激光,151.36,151.05,149.81,150.12,172.3,172.67,172.95,172.15,5.895 ,5.863 ,5.775 ,5.745 ,5.576 ,6.376 ,6.394 ,6.343 ,6.384 ,6.389 ,,,真空度：-852 T:20.3℃
268,2025.12.16,B251108-1-2 M7,0,5.77,6.36,19,,6.23,10.59,激光,150.72,150.6,149.57,149.76,170.01,172.16,171.87,171,5.895 ,5.863 ,5.775 ,5.745 ,5.576 ,6.748 ,6.726 ,6.626 ,6.815 ,6.756 ,,,真空度：-851 T:20.1℃
269,2025.12.18,G2304009-CL1 M2,0,5.75,6.37,19,,,,激光,150.07,149.83,149.2,149.12,172.71,173.35,173.73,173.25,5.922 ,5.807 ,5.655 ,5.664 ,5.703 ,6.419 ,6.317 ,6.418 ,6.358 ,6.345 ,,,真空度：-842 T:20.3℃
270,2025.12.18,B251108-1-2 M5,0,5.75,6.73,19,,6.23,10.59,激光,150.21,149.51,149.13,149.46,171.2,172.32,171.44,171.51,5.922 ,5.807 ,5.655 ,5.664 ,5.703 ,6.748 ,6.726 ,6.626 ,6.815 ,6.756 ,,,真空度：-842 T:20.3℃
271,2025.12.18,B251108-1-1 M8,0,5.75,6.36,19,,6.2,10.72,激光,153.77,153.25,152.5,152.84,171.45,172.08,171.91,170.72,5.922 ,5.807 ,5.655 ,5.664 ,5.703 ,6.376 ,6.394 ,6.343 ,6.384 ,6.389 ,,,真空度：-842 T:20.3℃
272,2025.12.18,B251108-1-1 M7,0,5.75,6.36,19,,6.2,10.72,激光,149.13,148.28,147.86,148.26,171.41,173.17,171.64,172.32,5.922 ,5.807 ,5.655 ,5.664 ,5.703 ,6.376 ,6.394 ,6.343 ,6.384 ,6.389 ,,,真空度：-842 T:20.3℃
273,2025.12.18,B251108-1-2 M6,0,5.75,6.73,19,,6.23,10.59,十字,,,,,,,,,5.922 ,5.807 ,5.655 ,5.664 ,5.703 ,6.748 ,6.726 ,6.626 ,6.815 ,6.756 ,,,真空度：-842 T:20.3℃
274,2025.12.19,B240724-1-2 M8,0,5.77,6.09,19,,,,激光,149,148.23,148.4,148.51,172.35,169.22,173.21,171.06,5.895 ,5.863 ,5.775 ,5.745 ,5.576 ,6.091 ,6.149 ,6.112 ,6.042 ,6.051 ,,,真空度：-844 T:20.1℃
275,2025.12.19,B251118-1-4 M1,0,5.75,6.44,19,,6.32,10.59,激光,149.28,148.28,146.4,147.98,168.94,170.06,171.83,169.48,5.922 ,5.807 ,5.655 ,5.664 ,5.703 ,6.427 ,6.399 ,6.468 ,6.551 ,6.340 ,,,真空度：-845 T:20.3℃
276,2025.12.19,B251118-1-4 M2,0,5.75,6.44,19,,6.32,10.59,激光,149.3,148.72,147.8,148.47,170.11,171.32,170.68,169.33,5.922 ,5.807 ,5.655 ,5.664 ,5.703 ,6.427 ,6.399 ,6.468 ,6.551 ,6.340 ,,,真空度：-848 T:20.3℃
277,2025.12.19,B250724-1-2 M4,0,5.75,6.09,19,,,,激光,148.75,148.22,147.37,147.46,173.99,174.83,174.84,174.94,5.922 ,5.807 ,5.655 ,5.664 ,5.703 ,6.091 ,6.149 ,6.112 ,6.042 ,6.051 ,,,真空度：-845 T:20.3℃
278,2025.12.19,B250724-1-2 M3,0,6.09,6.09,19,,,,激光,146.46,146.33,146.54,145.45,170.97,170.48,171.52,172.26,6.032 ,5.995 ,6.205 ,6.114 ,6.102 ,6.091 ,6.149 ,6.112 ,6.042 ,6.051 ,,,真空度：-845 T:20.3℃
279,2025.12.19,B251118-1-5 M6,0,5.75,6.46,19,,6.04,10.77,激光,148.73,148.53,147.55,148,166.89,169.12,169.44,169.31,5.922 ,5.807 ,5.655 ,5.664 ,5.703 ,6.535 ,6.459 ,6.459 ,6.471 ,6.394 ,,,真空度：-846 T:20.3℃
280,2025.12.19,B251118-1-5 M5,0,5.75,6.46,19,,6.04,10.77,十字,,,,,,,,,5.922 ,5.807 ,5.655 ,5.664 ,5.703 ,6.535 ,6.459 ,6.459 ,6.471 ,6.394 ,,,真空度：-846 T:20.3℃
281,2025.12.22,B251108-1-6 M3,0,5.75,6.37,19,,6.05,10.05,激光,150.25,149.04,148.3,149.42,171.36,171.99,172.19,172.55,5.922 ,5.807 ,5.655 ,5.664 ,5.703 ,6.402 ,6.321 ,6.402 ,6.352 ,6.370 ,,,真空度：-848 T:20.3℃
282,2025.12.22,B251108-1-6 M2,0,5.75,6.37,19,,6.05,10.05,激光,150.07,148.62,148.52,149.05,172.88,172.61,169.76,172.51,5.922 ,5.807 ,5.655 ,5.664 ,5.703 ,6.402 ,6.321 ,6.402 ,6.352 ,6.370 ,,,真空度：-847 T:20.3℃
283,2025.12.23,B251108-1-6 M5,0,5.75,6.37,19,,6.05,10.05,激光,,,,,,,,,5.922 ,5.807 ,5.655 ,5.664 ,5.703 ,6.402 ,6.321 ,6.402 ,6.352 ,6.370 ,,,真空度：-852 T:20.1℃
284,2025.12.23,B251118-1-7 M1,0,5.75,6.24,19,,6.23,10.32,激光,149.02,147.89,147.89,148.03,171.12,172.01,173.63,171.82,5.922 ,5.807 ,5.655 ,5.664 ,5.703 ,6.187 ,6.220 ,6.253 ,6.166 ,6.399 ,,,真空度：-853 T:20.3℃
285,2025.12.23,B251118-1-7 M3,0,5.75,6.24,19,,6.23,10.32,激光,149.07,148.19,147.76,148.14,171.91,172.39,173.03,173.74,5.922 ,5.807 ,5.655 ,5.664 ,5.703 ,6.187 ,6.220 ,6.253 ,6.166 ,6.399 ,,,真空度：-852 T:20.3℃
286,2025.12.25,B251118-1-7 M4,0,5.75,6.24,19,,6.23,10.32,激光,149.26,149.09,148.36,149.19,173.61,174.57,174.99,174.21,5.922 ,5.807 ,5.655 ,5.664 ,5.703 ,6.187 ,6.220 ,6.253 ,6.166 ,6.399 ,,,真空度：-854 T:20.3℃
287,2025.12.25,B251118-1-7 M5,0,5.75,6.24,19,,6.23,10.32,十字,,,,,,,,,5.922 ,5.807 ,5.655 ,5.664 ,5.703 ,6.187 ,6.220 ,6.253 ,6.166 ,6.399 ,,,真空度：-854 T:20.2℃
288,2025.12.25,B251118-1-6 M2,0,5.75,6.21,19,,6.3,10.52,激光,147.77,148.1,146.55,149,175.59,176.38,175.93,175.75,5.922 ,5.807 ,5.655 ,5.664 ,5.703 ,6.234 ,6.193 ,6.187 ,6.245 ,6.202 ,,,真空度：-854 T:20.3℃
289,2025.12.26,B251118-1-6 M1,0,5.75,6.21,19,,6.3,10.52,激光,150.56,148.5,149.14,150.13,169.68,169.74,170.53,169.76,5.922 ,5.807 ,5.655 ,5.664 ,5.703 ,6.234 ,6.193 ,6.187 ,6.245 ,6.202 ,,,真空度：-851 T:20.3℃
290,2025.12.26,B251118-1-5 M2,0,5.75,6.46,19,,6.04,10.77,激光,150.48,149.06,150.23,150.41,169.5,170.48,170.97,170.37,5.922 ,5.807 ,5.655 ,5.664 ,5.703 ,6.535 ,6.459 ,6.459 ,6.471 ,6.394 ,,,真空度：-851 T:20.3℃
291,2025.12.26,B251118-1-5 M7,0,5.75,6.46,19,,6.04,10.77,十字,,,,,,,,,5.922 ,5.807 ,5.655 ,5.664 ,5.703 ,6.535 ,6.459 ,6.459 ,6.471 ,6.394 ,,,真空度：-851 T:20.3℃
292,2025.12.26,B251118-1-4 M4,0,5.75,6.44,19,,6.32,10.59,十字,,,,,,,,,5.922 ,5.807 ,5.655 ,5.664 ,5.703 ,6.427 ,6.399 ,6.468 ,6.551 ,6.340 ,,,真空度：-848 T:20.3℃
293,2025.12.26,B251118-1-4 M3,0,5.75,6.44,19,,6.32,10.59,激光,150.15,149.47,147.64,149.68,168.37,168.39,169.34,169.93,5.922 ,5.807 ,5.655 ,5.664 ,5.703 ,6.427 ,6.399 ,6.468 ,6.551 ,6.340 ,,,真空度：-848 T:20.3℃
294,2025.12.29,B251108-1-6 M7,0,5.75,6.37,19,,6.05,10.05,激光,147.88,146.97,146.72,147.03,172.99,173.56,173.63,173.39,5.922 ,5.807 ,5.655 ,5.664 ,5.703 ,6.402 ,6.321 ,6.402 ,6.352 ,6.370 ,,,真空度：-849 T:20.3℃
295,2025.12.29,B251108-1-6 M6,0,5.75,6.37,19,,6.05,10.05,十字,,,,,,,,,5.922 ,5.807 ,5.655 ,5.664 ,5.703 ,6.402 ,6.321 ,6.402 ,6.352 ,6.370 ,,,真空度：-847 T:20.3℃
296,2025.12.29,B251108-1-6 M8,0,5.75,6.37,19,,6.05,10.05,激光,148.69,148.47,146.63,147.6,170.49,170.73,171.12,170.74,5.922 ,5.807 ,5.655 ,5.664 ,5.703 ,6.402 ,6.321 ,6.402 ,6.352 ,6.370 ,,,真空度：-846 T:20.3℃
297,2025.12.30,B251118-1-4 M5,0,5.75,6.44,19,,6.32,10.59,十字,,,,,,,,,5.922 ,5.807 ,5.655 ,5.664 ,5.703 ,6.427 ,6.399 ,6.468 ,6.551 ,6.340 ,,,真空度：-852 T:20.2℃
298,2025.12.30,B251118-1-5 M8,0,5.75,6.46,19,,6.04,10.77,十字,,,,,,,,,5.922 ,5.807 ,5.655 ,5.664 ,5.703 ,6.535 ,6.459 ,6.459 ,6.471 ,6.394 ,,,真空度：-849 T:20.3℃
299,2025.12.30,B251118-1-5 M9,0,5.75,6.46,19,,6.04,10.77,激光,149.22,147.22,147.68,147.68,174.48,173.61,174.29,174.65,5.922 ,5.807 ,5.655 ,5.664 ,5.703 ,6.535 ,6.459 ,6.459 ,6.471 ,6.394 ,,,真空度：-849 T:20.3℃
